# BEGIN PLOT
LegendOnly=/CMS_2019_I1753680/d29-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_PerBinModel_1/PerBin.yoda/CMS_2019_I1753680/d29-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_InverseModel_2/Inverse.yoda/CMS_2019_I1753680/d29-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_CP5_default/CP5_default.yoda/CMS_2019_I1753680/d29-x01-y01
DrawOnly=/CMS_2019_I1753680/d29-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_PerBinModel_1/PerBin.yoda/CMS_2019_I1753680/d29-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_InverseModel_2/Inverse.yoda/CMS_2019_I1753680/d29-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_PrimordialkT_CP5_default/CP5_default.yoda/CMS_2019_I1753680/d29-x01-y01
Title=CMS, 13 TeV, $Z \to \ell^+ \ell^-$, $0 < |y^{Z}| < 0.4$
RatioPlotReference=/CMS_2019_I1753680/d29-x01-y01
RatioPlot=1
LogX=1
LogY=0
RatioPlotYMax=1.25
XLabel=$p_{T}^{Z}$ [GeV]
YLabel=$d\sigma/dp_{T}^{Z}$ [pb/GeV]
XMin=0.1
Legend=1
RatioPlotYMin=0.75
# END PLOT

# BEGIN HISTO1D /CMS_2019_I1753680/d29-x01-y01
ConnectBins=0
ErrorBars=1
IsRef=1
Path=/CMS_2019_I1753680/d29-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.000000e+00	1.979500e+00	5.423000e-02	5.423000e-02
1.000000e+00	2.000000e+00	4.983900e+00	1.332100e-01	1.332100e-01
2.000000e+00	3.000000e+00	6.974500e+00	1.838500e-01	1.838500e-01
3.000000e+00	4.000000e+00	7.893100e+00	2.076600e-01	2.076600e-01
4.000000e+00	5.000000e+00	8.052000e+00	2.121600e-01	2.121600e-01
5.000000e+00	6.000000e+00	7.753600e+00	2.041700e-01	2.041700e-01
6.000000e+00	7.000000e+00	7.315900e+00	1.921000e-01	1.921000e-01
7.000000e+00	8.000000e+00	6.827900e+00	1.787400e-01	1.787400e-01
8.000000e+00	9.000000e+00	6.371400e+00	1.665600e-01	1.665600e-01
9.000000e+00	1.000000e+01	5.856500e+00	1.531400e-01	1.531400e-01
1.000000e+01	1.100000e+01	5.349300e+00	1.399100e-01	1.399100e-01
1.100000e+01	1.200000e+01	4.911200e+00	1.285900e-01	1.285900e-01
1.200000e+01	1.300000e+01	4.609500e+00	1.210000e-01	1.210000e-01
1.300000e+01	1.400000e+01	4.268000e+00	1.122500e-01	1.122500e-01
1.400000e+01	1.600000e+01	3.727700e+00	9.799400e-02	9.799400e-02
1.600000e+01	1.800000e+01	3.186100e+00	8.368200e-02	8.368200e-02
1.800000e+01	2.000000e+01	2.782200e+00	7.314300e-02	7.314300e-02
2.000000e+01	2.200000e+01	2.405900e+00	6.340400e-02	6.340400e-02
2.200000e+01	2.500000e+01	2.021900e+00	5.345900e-02	5.345900e-02
2.500000e+01	2.800000e+01	1.692700e+00	4.493400e-02	4.493400e-02
2.800000e+01	3.200000e+01	1.339100e+00	3.578100e-02	3.578100e-02
3.200000e+01	3.700000e+01	1.059200e+00	2.855400e-02	2.855400e-02
3.700000e+01	4.300000e+01	7.886400e-01	2.141500e-02	2.141500e-02
4.300000e+01	5.200000e+01	5.496900e-01	1.497100e-02	1.497100e-02
5.200000e+01	6.500000e+01	3.347900e-01	9.138400e-03	9.138400e-03
