# BEGIN PLOT
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Reweight_Merged_1/PerBin_reweight.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
XLabelSep=4.4
ConnectBins=0
RatioPlot=1
LogY=0
YLabelSep=5.4
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
XTwosidedTicks=1
YTwosidedTicks=1
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
Title=\large{CMS, 13 TeV, MB, TransMAX charged $p_\text{T}^{\text{sum}}$ density}
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{jet}}$[GeV]}
XMax=52
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
LegendYPos=0.50
Legend=1
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d10-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000e+00	1.500000e+00	1.355405e-01	3.631005e-03	3.631005e-03
1.500000e+00	2.000000e+00	2.461740e-01	5.022384e-03	5.022384e-03
2.000000e+00	2.500000e+00	3.766492e-01	6.033158e-03	6.033158e-03
2.500000e+00	3.000000e+00	5.172530e-01	5.869091e-03	5.869091e-03
3.000000e+00	3.500000e+00	6.535431e-01	5.549870e-03	5.549870e-03
3.500000e+00	4.000000e+00	7.882106e-01	9.187464e-03	9.187464e-03
4.000000e+00	4.500000e+00	9.130656e-01	1.604957e-02	1.604957e-02
4.500000e+00	5.000000e+00	1.035276e+00	2.391716e-02	2.391716e-02
5.000000e+00	6.000000e+00	1.173328e+00	4.434382e-02	4.434382e-02
6.000000e+00	7.000000e+00	1.347946e+00	5.016877e-02	5.016877e-02
7.000000e+00	8.000000e+00	1.494035e+00	5.550498e-02	5.550498e-02
8.000000e+00	9.000000e+00	1.611981e+00	5.938969e-02	5.938969e-02
9.000000e+00	1.000000e+01	1.708811e+00	6.307882e-02	6.307882e-02
1.000000e+01	1.200000e+01	1.794389e+00	6.616756e-02	6.616756e-02
1.200000e+01	1.400000e+01	1.899719e+00	7.033719e-02	7.033719e-02
1.400000e+01	1.600000e+01	2.001375e+00	7.451377e-02	7.451377e-02
1.600000e+01	1.800000e+01	2.056505e+00	7.740109e-02	7.740109e-02
1.800000e+01	2.000000e+01	2.025164e+00	7.788846e-02	7.788846e-02
2.000000e+01	2.400000e+01	2.076251e+00	8.135146e-02	8.135146e-02
2.400000e+01	2.800000e+01	2.185308e+00	9.119467e-02	9.119467e-02
2.800000e+01	3.200000e+01	2.190212e+00	1.043058e-01	1.043058e-01
3.200000e+01	3.600000e+01	2.322575e+00	1.435498e-01	1.435498e-01
3.600000e+01	4.000000e+01	2.379597e+00	1.908252e-01	1.908252e-01
4.000000e+01	4.400000e+01	2.512066e+00	2.305982e-01	2.305982e-01
4.400000e+01	4.800000e+01	2.050937e+00	2.966287e-01	2.966287e-01
4.800000e+01	5.200000e+01	2.590848e+00	5.320739e-01	5.320739e-01
5.200000e+01	5.600000e+01	2.098569e+00	4.224310e-01	4.224310e-01
5.600000e+01	6.000000e+01	2.619318e+00	4.543077e-01	4.543077e-01
6.000000e+01	6.400000e+01	2.995445e+00	5.374462e-01	5.374462e-01
6.400000e+01	6.800000e+01	1.609036e+00	6.084965e-01	6.084965e-01
6.800000e+01	7.200000e+01	1.828369e+00	3.610003e-01	3.610003e-01
7.200000e+01	8.000000e+01	3.023138e+00	1.033543e+00	1.033543e+00
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	nan	nan	nan
1.000000e+00	1.500000e+00	1.367747e-01	2.070478e-04	2.070478e-04
1.500000e+00	2.000000e+00	2.443269e-01	3.887485e-04	3.887485e-04
2.000000e+00	2.500000e+00	3.657283e-01	6.409434e-04	6.409434e-04
2.500000e+00	3.000000e+00	4.914181e-01	9.429027e-04	9.429027e-04
3.000000e+00	3.500000e+00	6.222509e-01	1.282484e-03	1.282484e-03
3.500000e+00	4.000000e+00	7.538058e-01	1.629258e-03	1.629258e-03
4.000000e+00	4.500000e+00	8.839251e-01	2.016097e-03	2.016097e-03
4.500000e+00	5.000000e+00	1.006289e+00	2.423152e-03	2.423152e-03
5.000000e+00	6.000000e+00	1.166714e+00	2.174281e-03	2.174281e-03
6.000000e+00	7.000000e+00	1.348194e+00	2.885544e-03	2.885544e-03
7.000000e+00	8.000000e+00	1.492775e+00	3.733243e-03	3.733243e-03
8.000000e+00	9.000000e+00	1.604873e+00	4.755457e-03	4.755457e-03
9.000000e+00	1.000000e+01	1.696922e+00	5.966773e-03	5.966773e-03
1.000000e+01	1.200000e+01	1.771774e+00	5.679839e-03	5.679839e-03
1.200000e+01	1.400000e+01	1.844065e+00	8.384884e-03	8.384884e-03
1.400000e+01	1.600000e+01	1.899624e+00	1.200017e-02	1.200017e-02
1.600000e+01	1.800000e+01	1.932831e+00	1.596014e-02	1.596014e-02
1.800000e+01	2.000000e+01	1.961033e+00	2.143679e-02	2.143679e-02
2.000000e+01	2.400000e+01	1.956548e+00	2.187260e-02	2.187260e-02
2.400000e+01	2.800000e+01	1.997596e+00	3.449658e-02	3.449658e-02
2.800000e+01	3.200000e+01	2.111138e+00	4.834180e-02	4.834180e-02
3.200000e+01	3.600000e+01	2.116284e+00	7.883004e-02	7.883004e-02
3.600000e+01	4.000000e+01	2.077856e+00	9.228657e-02	9.228657e-02
4.000000e+01	4.400000e+01	2.199595e+00	1.471130e-01	1.471130e-01
4.400000e+01	4.800000e+01	2.243908e+00	1.656470e-01	1.656470e-01
4.800000e+01	5.200000e+01	2.459616e+00	2.848067e-01	2.848067e-01
5.200000e+01	5.600000e+01	2.081930e+00	2.136178e-01	2.136178e-01
5.600000e+01	6.000000e+01	2.432799e+00	3.694732e-01	3.694732e-01
6.000000e+01	6.400000e+01	3.000130e+00	5.487112e-01	5.487112e-01
6.400000e+01	6.800000e+01	3.508511e+00	7.818742e-01	7.818742e-01
6.800000e+01	7.200000e+01	2.583612e+00	9.041663e-01	9.041663e-01
7.200000e+01	8.000000e+01	2.102740e+00	3.452709e-01	3.452709e-01
# END HISTO1D


# BEGIN HISTO1D //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2015_PAS_FSQ_15_007/d10-x01-y01
ErrorBars=1
