# BEGIN PLOT
YMin=0.
DrawOnly=/CMS_2018_I1680318/d01-x02-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2018_I1680318/d01-x02-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2018_I1680318/d01-x02-y01
YMax=5.
Title=CMS, 13 TeV, $pp$ Non-Single Diffractive enhanced
RatioPlotReference=/CMS_2018_I1680318/d01-x02-y01
YLabel=$(1/N^{tot}_{events})dN_{ch}/d\eta$ 
RatioPlot=1
LogX=0
LogY=0
RatioPlotYMax=1.4
LegendOnly=/CMS_2018_I1680318/d01-x02-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_CP5_Merged_1/CP5.yoda/CMS_2018_I1680318/d01-x02-y01 //eos/home-m/mdessena/CMSSW_eos/CMSSW_11_2_4/src/Final_Results_MCNNTUNES/Tune_MinBias_PerBinModel_Merged_1/PerBin.yoda/CMS_2018_I1680318/d01-x02-y01
XLabel=$\eta$ 
RatioPlotSameStyle=0
RatioPlotErrorBandColor=grey!40!yellow!60
Legend=1
RatioPlotYMin=0.6
# END PLOT

# BEGIN HISTO1D /CMS_2018_I1680318/d01-x02-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2018_I1680318/d01-x02-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
-2.400000e+00	-2.200000e+00	2.979800e+00	1.326011e-01	1.223180e-01
-2.200000e+00	-2.000000e+00	3.071200e+00	1.367004e-01	1.260175e-01
-2.000000e+00	-1.800000e+00	3.088100e+00	1.374993e-01	1.267163e-01
-1.800000e+00	-1.600000e+00	3.137500e+00	1.396070e-01	1.288244e-01
-1.600000e+00	-1.400000e+00	3.165000e+00	1.405111e-01	1.299284e-01
-1.400000e+00	-1.200000e+00	3.205800e+00	1.418092e-01	1.316254e-01
-1.200000e+00	-1.000000e+00	3.169500e+00	1.398067e-01	1.301221e-01
-1.000000e+00	-8.000000e-01	3.100500e+00	1.364063e-01	1.273211e-01
-8.000000e-01	-6.000000e-01	3.105500e+00	1.366060e-01	1.275207e-01
-6.000000e-01	-4.000000e-01	3.109500e+00	1.368057e-01	1.277204e-01
-4.000000e-01	-2.000000e-01	3.097700e+00	1.364063e-01	1.272213e-01
-2.000000e-01	0.000000e+00	3.060200e+00	1.348033e-01	1.257180e-01
0.000000e+00	2.000000e-01	3.060200e+00	1.348033e-01	1.257180e-01
2.000000e-01	4.000000e-01	3.097700e+00	1.364063e-01	1.272213e-01
4.000000e-01	6.000000e-01	3.109500e+00	1.368057e-01	1.277204e-01
6.000000e-01	8.000000e-01	3.105500e+00	1.366060e-01	1.275207e-01
8.000000e-01	1.000000e+00	3.100500e+00	1.364063e-01	1.273211e-01
1.000000e+00	1.200000e+00	3.169500e+00	1.398067e-01	1.301221e-01
1.200000e+00	1.400000e+00	3.205800e+00	1.418092e-01	1.316254e-01
