# BEGIN PLOT
XTwosidedTicks=1
YTwosidedTicks=1
XMax=24
XLabelSep=4.4
RatioPlotReference=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
ConnectBins=0
RatioPlot=1
LogY=0
LegendXPos=0.40
XLabel=\large{$p_\text{T}^{\text{max}}$[GeV]}
YLabelSep=5.4
YLabel=\large{$(1/N_\text{events})\; dp_\text{T}^{\text{sum}}\,/d\eta\, d\phi$}
Title=\large{CMS, 13 TeV, MB, TransAVG charged $p_\text{T}^{\text{sum}}$ density}
DrawOnly=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
RatioPlotErrorBandColor=grey!40!yellow!60
LegendYPos=0.50
Legend=1
LegendOnly=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01 //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
# END PLOT

# BEGIN HISTO1D /CMS_2015_PAS_FSQ_15_007/d04-x01-y01
ConnectBins=0
ErrorBars=1
Path=/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
PolyMarker=*
Title=Data
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	4.621247e-02	1.395170e-04	1.395170e-04
1.000000e+00	1.500000e+00	1.661421e-01	3.022367e-03	3.022367e-03
1.500000e+00	2.000000e+00	3.619876e-01	6.856570e-03	6.856570e-03
2.000000e+00	2.500000e+00	5.735683e-01	1.262014e-02	1.262014e-02
2.500000e+00	3.000000e+00	7.679438e-01	6.953553e-03	6.953553e-03
3.000000e+00	3.500000e+00	9.246076e-01	4.547747e-03	4.547747e-03
3.500000e+00	4.000000e+00	1.038086e+00	1.396255e-02	1.396255e-02
4.000000e+00	4.500000e+00	1.141484e+00	2.603447e-02	2.603447e-02
4.500000e+00	5.000000e+00	1.208800e+00	3.641579e-02	3.641579e-02
5.000000e+00	6.000000e+00	1.277542e+00	4.388362e-02	4.388362e-02
6.000000e+00	7.000000e+00	1.346280e+00	1.920738e-02	1.920738e-02
7.000000e+00	8.000000e+00	1.385178e+00	2.121872e-02	2.121872e-02
8.000000e+00	1.000000e+01	1.410001e+00	2.362691e-02	2.362691e-02
1.000000e+01	1.200000e+01	1.446983e+00	2.493577e-02	2.493577e-02
1.200000e+01	1.600000e+01	1.469117e+00	3.331409e-02	3.331409e-02
1.600000e+01	2.000000e+01	1.554969e+00	3.853897e-02	3.853897e-02
2.000000e+01	2.400000e+01	1.487938e+00	7.545611e-02	7.545611e-02
2.400000e+01	2.800000e+01	1.854191e+00	1.577504e-01	1.577504e-01
2.800000e+01	3.200000e+01	1.653630e+00	2.563423e-01	2.563423e-01
3.200000e+01	3.600000e+01	1.487790e+00	2.490471e-01	2.490471e-01
3.600000e+01	4.000000e+01	1.149671e+00	2.466902e-01	2.466902e-01
4.000000e+01	5.000000e+01	1.549023e+00	5.017801e-01	5.017801e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
LineColor=red
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/CP5.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
Title=CP5
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	4.675216e-02	6.180333e-05	6.180333e-05
1.000000e+00	1.500000e+00	1.656144e-01	2.053347e-04	2.053347e-04
1.500000e+00	2.000000e+00	3.609338e-01	4.873073e-04	4.873073e-04
2.000000e+00	2.500000e+00	6.025107e-01	8.568996e-04	8.568996e-04
2.500000e+00	3.000000e+00	8.373269e-01	1.304036e-03	1.304036e-03
3.000000e+00	3.500000e+00	1.026297e+00	1.872807e-03	1.872807e-03
3.500000e+00	4.000000e+00	1.149565e+00	2.583670e-03	2.583670e-03
4.000000e+00	4.500000e+00	1.218246e+00	3.471004e-03	3.471004e-03
4.500000e+00	5.000000e+00	1.262801e+00	4.575260e-03	4.575260e-03
5.000000e+00	6.000000e+00	1.287185e+00	4.505624e-03	4.505624e-03
6.000000e+00	7.000000e+00	1.312731e+00	6.964462e-03	6.964462e-03
7.000000e+00	8.000000e+00	1.320603e+00	9.861586e-03	9.861586e-03
8.000000e+00	1.000000e+01	1.352523e+00	1.069017e-02	1.069017e-02
1.000000e+01	1.200000e+01	1.410535e+00	1.871294e-02	1.871294e-02
1.200000e+01	1.600000e+01	1.410469e+00	2.283215e-02	2.283215e-02
1.600000e+01	2.000000e+01	1.457654e+00	4.635024e-02	4.635024e-02
2.000000e+01	2.400000e+01	1.723635e+00	9.585839e-02	9.585839e-02
2.400000e+01	2.800000e+01	1.553540e+00	1.474011e-01	1.474011e-01
2.800000e+01	3.200000e+01	2.105339e+00	2.689848e-01	2.689848e-01
3.200000e+01	3.600000e+01	1.496565e+00	2.104257e-01	2.104257e-01
3.600000e+01	4.000000e+01	1.159377e+00	2.011686e-01	2.011686e-01
4.000000e+01	5.000000e+01	1.413940e+00	2.528077e-01	2.528077e-01
# END HISTO1D


# BEGIN HISTO1D //afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
LineColor=blue
LineStyle=solid
Path=//afs/cern.ch/user/m/mdessena/MCNNTUNES_result1/CMSSW_11_2_4/src/Plots_Totali_2params/Inverse.yoda/CMS_2015_PAS_FSQ_15_007/d04-x01-y01
Title=Inverse
# xlow	 xhigh	 val	 errminus	 errplus
5.000000e-01	1.000000e+00	4.664923e-02	6.169812e-05	6.169812e-05
1.000000e+00	1.500000e+00	1.647156e-01	2.039051e-04	2.039051e-04
